,short_description
717,ते साल नवंबर खोल करतारपुर कॉरिडोर उम्मीद जग आसपास रहनेवाल लोग अप ज़िंदग संभावित बदलाव ले उत्साह भर थेलेकिन क्य ऐस संभव पाय आ 
718,पढ़ दिल्ल छप वाल अख़बार किन-किन ख़बर दी प्रमुख 
719,भारत के सबस कठोर शासक मा वाल औरंगज़ेब दिल लड़क आ गय क्य 
720,राजनीतिक विश्लेषक कह तमाम मुद्द के बावजूद जन के मन बात भाँप मुश्किल ज़मी हक़ीक़त टीव डिबेट सोशल मीडिय अलग सक 
721,बिहार के साथ-साथ राज्य उपचुनाव भारतीय जन पार्ट अच्छ प्रदर्शन किय 11 राज्य 58 विधानसभ सीट चुनाव के नतीज आ 
722,243 सदस्य विधानसभ 75 सीट के राष्ट्रीय जन दल सबस बड़ पार्ट बन उभर आरजेड के 74 सीट के भाजप दूसर सबस बड़ पार्ट 
723,बिहार एनडीए जीत कार्टून 
724,सुप्रीम कोर्ट बार एसोसिएशन के अध्यक्ष जत आपत्त कह नागरिक नह लग चाह वो दूसर दर्ज अदालत सवाल उठ सब नह सहमत 
725,अर्नब गोस्वाम बी बुधवार 4 नवंबर मुंबई उन्ह उनक घर गिरफ़्तार किय गय 
726,बिहार एनडीए पूर्ण बहुमत मिल गय सरकार बन के हलचल नह दिख रह क्य नीतीश कुमार पांच विकल्प विचार रह 
728,बिहार विधानसभ चुनाव बीजेप जेडीय अधिक सीट हासिल हिंद भाष राज्य उत्तर प्रदेश के बीजेप के बड़ चुनौ रह बिहार कामयाब कैस देख जाएग 
729,बीजेप शामिल के ज्योतिरादित्य पहल चुनाव उनक पार्ट शामिल लोग साख 
730,बिहार विधानसभ चुनाव के नतीज आ चुक 243 विधानसभ सीट वाल राज्य बार एनडीए सरकार बन जनादेश मिल 
731,नीतीश कुमार बिहार राजनीत के ऐस खिलाड़ सत् के खेल जम रह जान 
732,दिन भर सभ ज़रूर ख़बर बड़ अपडेट आपक मिल बीबीस लाइव पेज 24 घंट उपलब्ध 
733,चिराग पासवान के साम बड़ चुनौ तेज़ बदल ज़मी परिस्थित ध्यान रख अप पि छोड़ राजनीतिक पूँज आग बढ़ 
743,भारतीय विदेश मंत्रालय करतारपुर साहिब गुरुद्वार प्रबंधन ग़ैर-सिख समित दिए ऐतराज़ जत 
744,अर्नब गोस्वाम गिरफ़्तार पीएम मोद ले मंत्र ट्वीट किय गिरफ़्तार आलोच 
747,दिन भर सभ ज़रूर ख़बर बड़ अपडेट आपक मिल बीबीस लाइव पेज 24 घंट उपलब्ध 
748,बाइडन रुख़ मामल ट्रंप अलग क्य इसक असर भारत के रिश्त पड़ 
749,बीएस चंद्रशेखर वो फिरक गेंदबाज जिनक साम रिचर्ड्स जैस दिग्गज बल्लेबाज़ के पांव डगमग 
750,कमल हैरिस मां गांव भारत के दक्षिण राज्य तमिलनाड के लोग कमल जीत काफ खुश 
751,दोन देश हाल के दिन सीम अप स्थित मजबूत बन रख के कदम उठ 
752,पाकिस्तान छप वाल उर्द के अख़बार क्य चर्च पढ़ उर्द अख़बार सप्ताह क्य रह चर्च 
753,अमेरिक के राष्ट्रपत उप-राष्ट्रपत चु बाइडन कमल हैरिस देश के बध दे रह 
754,24व बहुराष्ट्रीय समुद्रीय अभ्यास मालाबार पहल चरण संपन्न गय 
755,फ़िल्म मज़दूर मट्ट उसक साइकिल ज़िंदग नाम के परमानेंट लॉकडाउन फँस उसक नीच जात ग़रीब बीमार रह 
756,जरनैल सिंह भिंडरावाल स्वर्ण मंदिर निकाल योज ब्रिटिश अफ़सर सलाह ली 
757,जयपुर जन्म प्रतीक कुहाड़ कंसल्टेंट बनते-बन गायक बन 
758,बिहार के लोग क्य विधानसभ चुनाव वोट दे घर नह पाए क्य ‘जन के जन के द्वार जन के’ जनतंत्र उनक वोट न दे पा मजबूर के जगह 
759,फ़िल्म मट्ट साइकिल ऐस मज़दूर जिसक पूर वजूद रोज़ रोट टूट फूट साइकिल टिक 
760,हैदराबाद ऐस छुप रूस्तम टीम आराम देख देख चैंपियन बन दावेदार मुंबई दिल्ल बैंगलोर मात दे दी 
761,जनरल बिपिन रावत कह चीन पाकिस्तान गठजोड़ लगातार बढ़ रह भारत दोन मुल्क युद्ध चुक 
762,भारतीय खुफ़िय एजेंस के प्रमुख प्रमुख के नेपाल दौर के क्य दोन देश राजनीतिक संवाद राह लौट माहौल बन रह 
763,बिहार तीसर अंतिम चरण मतदान शनिवार होग पिछल सव मही बिहार जार चुनाव प्रचार जुड़ ख़ास बात 
764,ओडिश के मयूरभंज गाय के झुंड विशालकाय हाथ दौड़ दिय 
767,अमेरिक राष्ट्रपत चुनाव के परिणाम आन इत देर भल क्य लग रह 
768,रक्ष सौद के अनुसार साल फ्रांस हैमर मिसाइल भारत दे भारत ज़रूरत देख फ्रांसीस वायुसे अप ज़खीर मिसाइल भारत दे फ़ैसल किय 
769,रिपब्लिक टीव के एडिटर-इन-चीफ़ अनर्ब गोस्वाम अंतरिम राहत नह मिल बॉम्ब हाईकोर्ट शुक्रवार सुनव फ़ैसल किय 
770,लखनऊ के नार निकेतन महिल क़ैद जेल के करवाचौथ त्योहार मन 
771,विदेश मंत्रालय बैठ अधिकार विदेश नीत बन वाल विशेषज्ञ के अमेरिक के अगल राष्ट्रपत ले ज़्याद चिं उत्साह नह 
774,दिन भर सभ ज़रूर ख़बर बड़ अपडेट आपक मिल बीबीस लाइव पेज 24 घंट उपलब्ध 
776,प्रसार भार ची विदेश मंत्रालय पूछ भारत जम्मू-कश्मीर विशेष दर्ज ख़त्म किय चीन कड़ आपत्त जत पाकिस्तान के मामल चुप क्य 
777,कोरो महामार विमानन सेक्टर बुर प्रभावित किय उड़ान शुर स्थित सामान्य अभ लंब वक़्त लग 
778,सप्ताह भारत राष्ट्रीय जाँच एजेंस ग्रेटर कश्मीर के दफ़्तर एएफ़प के पत्रकार परवेज़ बुख़ार के घर छापेमार 
779,अमेरिक राष्ट्रपत डोनाल्ड ट्रंप बन बाइडन उनक साम भारत समेत पूर दक्षिण एशिय के मुद्द होंग 
781,फ़ूड स्टॉल चल वाल कां प्रसाद डोनेशन के पैस ले लग हेराफेर आरोप यूट्यूबर किय धोखाधड़ इनकार 
782,नमाज़ पढ़ वाल कह ऐस सद्भाव बढ़ के पुजार सहमत किय जबक लोग धार्मिक भाव आहत मामल मान रह 
783,भारत बड़ आबाद साफ़ पा नसीब नह बड़ तादात लोग बास सेहत ख़राब वाल खा खा दूषित हव सांस ले ऐस जगह रह जह बेहद घन आबाद 
784,भारत सरकार पाकिस्तान के प्रधानमंत्र इमरान ख़ान के गिलगित-बल्तिस्तान प्रांत अस्थाय दर्ज दे के फ़ैसल कड़ विरोध किय 
785,फ़्रांस इस्लाम ले चल रह ताज़ विवाद भारतीय विदेश मंत्रालय फ़्रांस के राष्ट्रपत खुल समर्थन किय 
786,मायाव कह समाजवाद पार्ट हर के ज़रूरत पड़ उनक पार्ट बीजेप समर्थन सक 
787,टेस्ट वन डे मैच सबस ज़्याद विकेट ले वाल श्रीलंक के पूर्व स्पिनर मुथैय मुरलीधरन बन फ़िल्म विरोध रह क्य कह इसपर मुरलीधरन 
789,पाकिस्तान के प्रधानमंत्र इमरान खान गिलगित-बाल्टिस्तान अंतरिम प्रांत दर्ज दे ऐलान किय 
790,फ़िल्म इंडस्ट्र काम शुर चुक रोज़ खा वाल जूनियर आर्टिस्ट्स हालत ख़राब 
791,क़रीब तीन दशक सिवान भाकप माल राष्ट्रीय जन दल के राजनीतिक दुश्म चरम रह दोन चुनाव लड़ रह 
792,बिहार राजधा पट के गर्दनीबाग यारपुर इलाक रह वाल दलित महादलित परिवार विकास कोस 
793,अप घर चमक रख उसक अलाव मतलब ना रख नए समाज कड़व सच्च बन गय 
794,फ़रीदाबाद निकि तोमर के घर लोग ताँ लग रिश्तेदार कह उनक बेट मर धर्म नह बदल 
795,क्य बाइडन रुख वाक़ई चीन ले नरम वो राष्ट्रपत बन क्य ट्रंप चीन के कारोबार अधिक टैक्स लग सक 
796,उपभोक् मामल के मंत्रालय के जार आँकड़ के अनुसार प्याज़ के औसत थोक दाम 108 फ़ीसद बढ़त दर्ज के अख़बार बड़ सुर्ख़ 
797,पाकिस्तान विदेश नीत दिन बदल सी दिख रह सऊद के रह पाकिस्तान तुर्क ओर झुक रह 
798,अभियुक्त पुलिसकर्म अविनाश राय नौकर बर्खास्त दिय गय मामल जाँच रह 
799,जम्म कश्मीर के कुलगाम जिल कथित चरमपंथ तीन लोग हत्य दी मार तीन लोग बीजेप के स्थानीय 
800,राजधा दिल्ल बी दिन रोज़ संक्रमण के मामल 5 हज़ार के आ रह रोज़ नय रिकॉर्ड बन रह 
801,फ़्रांस के राष्ट्रपत के ख़िलाफ़ भोपाल के इक़बाल मैदान विशाल प्रदर्शन प्रदेश राजनीत वजह बन गय 
802,भारतीय मीडिय दाव किय गय पाकिस्तान संसद बहस के पीएम मोद के नार लग 
803,इस्लाम मैक्र के बयान अरब देश नाराज़ग देश उनक समर्थन उतर भारत फ़्रांस के समर्थन बयान जार किय 
804,ट्रांसजेंडर समुदाय के लोग के नौकर ढ़ूढ़ आसान नह 
805,महिल के ख़िलाफ हिंसक अपराध भारत पाकिस्तान तेज़ क़ानून सख़्त सुधार बहस 
806,30 अक्तूबर भारत के परमाण कार्यक्रम के पितामह कह वाल होम जहांगीर भाभ जयं पढ़ रेहान फ़ज़ल विशेष लेख 
807,चीन बत पहाड़ तैनात अप जवान के क्य व्यवस्थ पढ़ के अख़बार प्रमुख सुर्ख़ 
808,फ़्रांस के चर्च हमल तीन लोग मौत पूर दुनिय प्रतिक्रिय साम आ रह 
810,राष्ट्रीय सुरक्ष एजेंस के अनुसार कथित एनजीओ ट्रस्ट अलगाव बढ़ाव दे के देश विदेश चंद जम रह 
811,अमरीक के ख़ुफ़िय अधिकार कह रूस ईरान 3 नवंबर वाल राष्ट्रपत चुनाव पहल वोटर्स प्रभावित कोशिश लग 
812,भारत चीन के लद्दाख लाइन ऑफ एक्चुअल कंट्रोल एलएस पिछल महीन गंभीर विवाद बन 
813,केंद्र सरकार 3067 लाख नॉन-गैज़ेटेड केंद्रीय कर्मचार तुरंत बोनस दे घोषण 
814,केंद्र सरकार ओर लाए तीन नए कृष क़ानून निष्प्रभाव के पंजाब विधानसभ तीन नए कृष विधेयक पारित 
815,जानकार कह रह सर्द बढ़ के भारत कोरो वायरस ख़तर बढ़ सक क्य डबल ख़तर बच तैयार रह 
816,कांग्रेस राहुल गांध कह चीन भारत धर कब्ज लिय पीएम मोद चीन नाम नह ले 
817,ऑट सेक्टर भारत जीडीप 7 प्रतिशत योगदान दे कोरो महामार सेक्टर बुर हाल दिय 
818,आर्टिकल 370 हट कोरो वायरस लॉकडाउन के कश्मीर सेब उद्योग दोबार खड़ तैयार 
819,तेजस्व यादव सियासत विरासत मिल चिराग पासवान अखिलेश यादव तुल दूसर वारिस कित अलग 
820,भारत लग रह आरोप शामिल वो मालदीव अप सैन्य मौजूदग स्थापित चाह 
821,सऊद अरब के नए बैंक नोट छप अंतरराष्ट्रीय सीम भारत सुधार के कह देश-दुनिय बड़ ख़बर लाइव अपडेट देख 
822,शार्ल एब्द के ताज़ कार्टून आख़िर ऐस क्य ले तुर्क कड़ आपत्त जत भारत फ़्रांसीस राष्ट्रपत समर्थन किय 
823,दिल्ल वेतन ले निगम के सफ़ कर्मचार हड़ताल चल दिल्ल कूड़ के ढेर तब्दील जाएग 
824,बिहार जन मूलभूत सुविध शामिल पा के परेशान लोग साफ पी पा उपलब्ध नह पा 
825,उत्तर प्रदेश के ललितपुर मध्य प्रदेश के भोपाल ट्रेन बि रुक चल रह ताक बच्च बच सक 
826,भारत अमरीक के बेसिक एक्‍सचेंज ऐंड कोऑपरेशन एग्रीमेंट BECA समेत अहम समझौ 
827,भारत कोरो वायरस वैक्सीन बन ले कोशिश जार इनम वैक्सीन के तीसर चरण मंज़ूर मिल 
828,भारत चीन पहल ख़राब रिश्त ले चर्च बन चीन ताज़ समझौ ले तीख प्रतिक्रिय दी 
829,भारत फ़ेसबुक बड़ अधिकार आरोप लग बीजेप के के ख़िलाफ़ नफ़रत फैल वाल कंप नीत लाग नह दिय 
830,बी कॉम छात्र के सिर गोल मार वाल युवक नूंह विधायक आफ़ताब अहमद चचेर भाई बत रह अख़बार सुर्ख 
831,फ़्रांस के चर्च हमल तीन लोग मौत पूर दुनिय प्रतिक्रिय साम आ रह 
833,राष्ट्रीय सुरक्ष एजेंस के अनुसार कथित एनजीओ ट्रस्ट अलगाव बढ़ाव दे के देश विदेश चंद जम रह 
834,मुंगेर दुर्ग प्रतिम विसर्जन के गोल चल घट के चुनाव आयोग एसप डीएम पद हट 
835,पाकिस्ता सांसद अयाज़ सादिक़ दाव किय विदेश मंत्र शाह महमूद क़ुरैश कह विंग कमांडर अभिनंदन रिह नह किय भारत रात नौ बज हमल देग 
836,बिग बाज़ार फ़्यूचर ग्रुप दुनिय के सबस अमीर शख़्स अमेज़ॉन के जेफ़ बेज़ोस भारत के सबस अमीर रिलायंस के मुकेश अंबा के आखिर क्य दाँव लग दोन के ठन 
837,नीस के मेयर क्रिश्चियन एस्ट्रोस पत्रकार बत संदिग्ध हमलावर बार-बार अल्लाह अकबर अल्लाह महान चिल्ल रह हमलावर गिरफ़्तार लिय गय 
838,बिहार चुनाव प्रचार के प्रधानमंत्र नरेंद्र मोद कांग्रेस राहुल गांध लगातार रैल रह 
839,उत्तर प्रदेश के बदायूं साल 2014 बहन पेड़ लटक मिल थीं सीबीआई जाँच विशेष पॉक्स कोर्ट सुनव के बावजूद परिवार इंसाफ़ इंतज़ार 
840,एनआईए के अनुसार छाप अलगाववाद चरमपंथ गतिविध मदद के धन जुट के संदेह मार पढ़ के अख़बार बड़ ख़बर 
841,केंद्र सरकार 3067 लाख नॉन-गैज़ेटेड केंद्रीय कर्मचार तुरंत बोनस दे घोषण 
842,केंद्र सरकार ओर लाए तीन नए कृष क़ानून निष्प्रभाव के पंजाब विधानसभ तीन नए कृष विधेयक पारित 
843,जानकार कह रह सर्द बढ़ के भारत कोरो वायरस ख़तर बढ़ सक क्य डबल ख़तर बच तैयार रह 
844,कांग्रेस राहुल गांध कह चीन भारत धर कब्ज लिय पीएम मोद चीन नाम नह ले 
845,ऑट सेक्टर भारत जीडीप 7 प्रतिशत योगदान दे कोरो महामार सेक्टर बुर हाल दिय 
846,आर्टिकल 370 हट कोरो वायरस लॉकडाउन के कश्मीर सेब उद्योग दोबार खड़ तैयार 
847,तेजस्व यादव सियासत विरासत मिल चिराग पासवान अखिलेश यादव तुल दूसर वारिस कित अलग 
848,भारत लग रह आरोप शामिल वो मालदीव अप सैन्य मौजूदग स्थापित चाह 
849,क्य भारत कोरो वायरस संक्रमण के मामल पीक आ चुक 
850,योग आदित्यानाथ महिल के ख़िलाफ़ अपराध रोक के एंट रोमिय स्क्वैड शुरुआत वो अचानक ग़ायब गय 
851,भारत-पाकिस्तान युद्ध औपचारिक शुरुआत 11 दिन बाक दिन पहल 4 सिख रेजिमेंट के सैनिक टैंक के पूर्वी-पाकिस्तान चौगाच क़स्ब तरफ बढ़ 
852,उत्तर प्रदेश पिछल के पत्रकार के ख़िलाफ़ सरकार छव ख़राब के आरोप लग मुक़दम दर्ज 
853,क़िस्स भारत पाकिस्तान के 1971 लड़ औपचारिक शुरुआत 11 दिन पहल 
854,स्वास्थ्य मंत्र कोरो वायरस ले जत चिं विदेश मंत्र चीन रिश्त दिय बयान पढ़ के अख़बार सुर्ख 
855,केरल कोरो पहल मामल जनवर साम आय 
856,बिहार चुनाव ले मिथक चर्च ख़ूब हालांक उनक सच्च क्य बात आम लोग इन्ह मिथक सच मान ले ऐस जान मिथक क्य उनक सच्च क्य 
857,शोएब आफ़ताब आकांक्ष सिंह परीक्ष 100 फ़ीसद नंबर मिल हालाँक नेशनल टेस्टिंग एजेंस एनटीए टाई-ब्रे पॉलिस के शोएब परीक्ष टॉपर घोषित किय गय 
858,अधिकार के मुताबिक़ दमकल 10 गाड़ घटनास्थल मौजूद जह इमारत के फँस लोग बच आग बुझ कोशिश रह 
859,अदालत शाह मस्जिद समित समेत चार पक्ष नोटिस जार किय 
860,आईएमएफ़ अनुमान प्रत व्यक्त जीडीप आन वाल दिन बांग्लादेश भारत पीछ छोड़ आग जाएग आखिर ऐस कैस होग 
861,अनुराग कश्यप यौन शोषण आरोप लग के मामल ऋच चड्ढ पायल घोष क़ानू नोटिस भेज 
862,भारत के लगभग 120 पूर्व सैन्य अधिकार राष्ट्रपत रामनाथ कोविंद मुस्लिम रेजिमेंट के बार ख़त लिख पढ़ अख़बार समीक्ष 
863,कश्मीर नियंत्रण रेख अक्सर गोलीबार ख़बर आत रह ऐस बस गाँव के लोग बत क्य बीत 
864,15 अक्तूबर भारत के के सबस लोकप्रिय राष्ट्रपत एपीज अब्दुल कलाम जयं उनक 88व जयं पढ़ विशेष लेख 
865,राज्य सरकार के फ़ैसल के अनुसार मल्टीप्लेक्स सिनेम घर अप्रैल 30 सितंबर अवध के लाइसेंस फी छूट दी 
866,उत्तराखंड के टिहर ज़िल रौत बेल नाम गांव पनीर विलेज के नाम मशहूर गांव सभ परिवार पनीर बन काम देख वीडिय 
867,राज्यपाल भगत सिंह कोश्यार चिट्ठ उनक भाष ले महाराष्ट्र राजनीत विवाद छिड़ गय 
868,सोशल मीडिय तनिष्क के विज्ञापन के विरोध कार्टून 
869,भारत जीडीप आईएमएफ़ के अनुमान आपक जीवन क्य मतलब समझ के पढ़ रिपोर्ट 
870,एनआईए 83 साल के फ़ादर स्टेन स्वाम गिरफ़्तार यूएपीए धाराएँ लग 
871,आईएमएफ़ अनुमान प्रत व्यक्त जीडीप आन वाल दिन बांग्लादेश भारत पीछ छोड़ आग जाएग क्य तुल सह 
872,भान अथैय साल 1982 रिलीज़ फ़िल्म गांध कॉस्ट्यूम डिज़ाइन के ऑस् पुरस्कार दिय गय 
873,बीएआरस टीव चैनल टीआरप निलंबित कार्टून 
874,पाकिस्तान कभ दूसर धुर-विरोध रह विपक्ष पार्ट इमरान ख़ान सरकार के ख़िलाफ़ लामबंद रह 
875,तेलंग आंध्र प्रदेश केरल कर्नाटक ओडिश महाराष्ट्र बुधवार मूसलाधार बारिश जनजीवन अस्त व्यस्त गय कम-से-कम 30 लोग मौत चुक 
876,चालक कार रोक के बजाय चल जार रख ट्रैफ़िक पुलिसकर्म कार के बॉनेट आ गय 
877,मिसाइल 400 किलोमीटर ज़्याद मार सक 
878,आकर्षण केंद्र वो शक्तिशाल पहलवान जिनक संबंध प्रसिद्ध भोल पहलवान परिवार दारुल सेहत सब भोल अखाड़ के नाम जान 
879,बिहार के जातिगत समीकरण बात लंब बीजेप हिंद पहचान के आधार वोटर लामबंद लग इसक सोशल इंजीनियरिंग उसक ध्यान रह 
880,गुरुवार राज्य सात मही के सिनेमाघर मल्टीप्लेक्स दोबार खुल रह 
881,भारतीय विदेश मंत्रालय के प्रवक् अनुराग श्रीवास्तव गुरुवार शाम मीडिय बातचीत पाकिस्ता एनएसए के दाव खंडन किय 
882,आईएमएफ़ अनुमान प्रत व्यक्त जीडीप आन वाल दिन बांग्लादेश भारत पीछ छोड़ आग जाएग क्य तुल सह 
883,भान अथैय साल 1982 रिलीज़ फ़िल्म गांध कॉस्ट्यूम डिज़ाइन के ऑस् पुरस्कार दिय गय 
884,बीएआरस टीव चैनल टीआरप निलंबित कार्टून 
885,पाकिस्तान कभ दूसर धुर-विरोध रह विपक्ष पार्ट इमरान ख़ान सरकार के ख़िलाफ़ लामबंद रह 
886,तेलंग आंध्र प्रदेश केरल कर्नाटक ओडिश महाराष्ट्र बुधवार मूसलाधार बारिश जनजीवन अस्त व्यस्त गय कम-से-कम 30 लोग मौत चुक 
887,चालक कार रोक के बजाय चल जार रख ट्रैफ़िक पुलिसकर्म कार के बॉनेट आ गय 
888,मिसाइल 400 किलोमीटर ज़्याद मार सक 
889,आकर्षण केंद्र वो शक्तिशाल पहलवान जिनक संबंध प्रसिद्ध भोल पहलवान परिवार दारुल सेहत सब भोल अखाड़ के नाम जान 
890,बिहार के जातिगत समीकरण बात लंब बीजेप हिंद पहचान के आधार वोटर लामबंद लग इसक सोशल इंजीनियरिंग उसक ध्यान रह 
891,एनआईए 83 साल के फ़ादर स्टेन स्वाम गिरफ़्तार यूएपीए धाराएँ लग 
